Direction,Timestamp,Hex Data,Parsed Info,Error
TX,2025-12-10 21:40:53.020,"03 00 02 03","SET_FREQUENCY: 100kHz",false
RX,2025-12-10 21:40:53.036,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 33 39 31 35 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 38 31 2c 4e 2c 31 32 37 30 33 2e 39 39 38 39 36 2c 45 2c 31 2e 36 37 30 2c 33 33 37 2e 36 32 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 30 39 2f 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 22 79 87 62 00 43 fd 97 00 00 00 1c 00 00 c5 3b 00 00 00 29 00 00 00 00 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.152,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 33 39 31 35 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 38 31 2c 4e 2c 31 32 37 30 33 2e 39 39 38 39 36 2c 45 2c 31 2e 36 37 30 2c 33 33 37 2e 36 32 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 30 39 2f 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 53 4e 1d 36 b0 00 55 00 c6 00 00 00 00 ff 00 00 2d 00 46 ff 68 ca 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.152,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 33 39 31 35 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 38 31 2c 4e 2c 31 32 37 30 33 2e 39 39 38 39 36 2c 45 2c 31 2e 36 37 30 2c 33 33 37 2e 36 32 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 30 39 2f 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 19 8c 74 00 57 00 f2 5d 00 d5 00 00 3b 00 00 00 00 65 00 00 ff 81 d6 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.152,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 33 39 31 35 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 38 31 2c 4e 2c 31 32 37 30 33 2e 39 39 38 39 36 2c 45 2c 31 2e 36 37 30 2c 33 33 37 2e 36 32 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 30 39 2f 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 8e b4 9c 56 ff ff 00 00 00 ff 00 00 00 ff 62 00 00 ff 00 9f ff e5 9a 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.152,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 33 39 31 35 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 38 31 2c 4e 2c 31 32 37 30 33 2e 39 39 38 39 36 2c 45 2c 31 2e 36 37 30 2c 33 33 37 2e 36 32 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 30 39 2f 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 b4 ff 9d 00 ff ff ff 00 00 00 00 00 9d 00 00 00 00 ff 00 71 00 00 00 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.152,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 33 39 31 35 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 38 31 2c 4e 2c 31 32 37 30 33 2e 39 39 38 39 36 2c 45 2c 31 2e 36 37 30 2c 33 33 37 2e 36 32 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 30 39 2f 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3c 6f 00 ff ff 00 00 ff 00 00 00 00 00 00 00 00 00 00 00 00 c7 00 00 19 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.152,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 34 30 35 32 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 35 39 2c 4e 2c 31 32 37 30 34 2e 30 30 30 34 31 2c 45 2c 30 2e 31 39 32 2c 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 31 33 2f 00 00 00 00 00 00 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7f ff ff 8c 00 ff 8b b5 00 00 00 7f ff 44 00 00 00 e7 ff 00 00 00 00 30 00 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.163,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 34 30 35 32 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 35 39 2c 4e 2c 31 32 37 30 34 2e 30 30 30 34 31 2c 45 2c 30 2e 31 39 32 2c 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 31 33 2f 00 00 00 00 00 00 00 00 00 00 00 02 40 76 db 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5f ff 77 ff ff ff 00 ff ff 1d fa 00 ff 00 00 00 00 00 a1 00 ff 00 e7 11 00","물 속, 8.5°C, 스캔깊이 3.86m, 270kHz",false
RX,2025-12-10 21:40:53.268,"b4 00 01 41 07 5c 28 24 47 4e 52 4d 43 2c 31 32 34 30 35 32 2e 30 30 2c 41 2c 33 37 33 31 2e 37 32 32 35 39 2c 4e 2c 31 32 37 30 34 2e 30 30 30 34 31 2c 45 2c 30 2e 31 39 32 2c 2c 31 30 31 32 32 35 2c 2c 2c 41 2c 56 2a 31 33 2f 00 00 00 00 00 00 00 00 00 00 00 03 40 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 ff ae 00 00 ff ff ff 00 00 ff 00 ff ff ff 00 ff 00 ff ff ff ff 00 00","물 속, 8.5°C, 스캔깊이 3.75m, 100kHz",false
