Direction,Timestamp,Hex Data,Parsed Info,Error
RX,2025-11-14 18:56:41.436,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 00 00 00 00 00 00 00 00 00 00 00 00 02 0f 0f 0f 03 05 02 03 08 09 08 08 06 07 05 04 04 04 07 06 05 04 03 04 09 04 03 05 04 06 09 0f 0f 0f 0d 07 09 06 09 0b 0b 0a 0a 0d 0f 0f 09 09 05 0c","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-14 18:56:41.498,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 09 0f 0f 0f 04 05 02 06 09 08 08 08 06 08 05 04 04 07 05 06 06 04 03 08 03 02 04 06 06 02 0f 0f 0f 0f 09 07 06 08 08 0b 0a 0b 0c 0f 0f 0f 09 09 0b 0e 0f","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-14 18:56:41.567,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 02 02 00 00 00 00 00 00 00 00 00 00 00 00 07 0c 0f 0f 05 05 03 03 08 09 08 08 07 08 04 06 05 05 07 06 06 04 04 03 09 03 03 06 05 06 05 0f 0f 0f 0f 09 05 09 09 0b 0b 0a 0a 0d 0f 0f 0a 09 0c 0d","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-14 18:56:41.637,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 02 02 02 00 00 00 00 00 00 00 00 00 00 00 09 0f 0f 0f 06 05 02 09 0a 0a 0a 08 08 08 06 05 06 09 06 08 06 04 03 08 06 05 05 06 07 06 0f 0f 0f 0f 0a 08 08 0b 0b 0e 0f 0c 0f 0f 0f 0f 0c 0a 0d 0f","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-14 18:56:41.710,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 02 02 02 00 00 00 00 00 00 00 00 00 00 00 0a 0f 0f 0f 05 05 02 06 0a 09 08 08 06 09 05 06 05 07 05 07 05 04 03 09 04 03 04 06 06 04 0f 0f 0f 0f 0a 07 06 09 09 0b 0c 0c 0f 0f 0f 0f 09 08 0c 0e","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-14 18:56:41.778,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 0e 0f 0f 0f 05 06 03 09 0a 0a 0b 09 07 09 05 05 06 09 07 08 08 04 05 09 06 05 05 06 07 07 0f 0f 0f 0f 0d 09 0a 0b 0b 0f 0e 0b 0f 0f 0f 0f 0c 0b 0e 0f","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-14 18:56:41.847,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 02 02 00 00 00 00 00 00 00 00 00 00 00 00 09 0f 0f 0f 04 04 03 07 0a 09 07 09 07 08 05 06 05 07 05 07 04 05 03 04 06 03 04 06 05 06 0e 0f 0f 0f 0f 09 07 09 09 0c 0c 0c 0f 0f 0f 0f 0a 08 0c 0e","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
TX,2025-11-14 18:56:41.896,"03 00 03 0e","SET_SCAN_RATE: 14Hz",false
RX,2025-11-14 18:56:41.917,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 00 00 00 00 00 00 00 00 00 00 00 00 04 0f 0f 0f 05 05 02 07 0a 09 09 09 06 06 06 04 04 07 05 06 06 05 03 09 04 03 05 06 06 06 0d 0f 0f 0f 0c 08 0a 09 09 0c 0b 0a 0b 0e 0f 0f 0a 08 0c 0d","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-14 18:56:41.987,"b4 00 01 c0 c6 66 66 24 47 4e 52 4d 43 2c 2c 56 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 4e 2c 56 2a 33 37 2f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 00 00 00 00 00 00 00 00 00 00 00 00 06 0f 0f 0f 05 05 02 06 0a 09 09 09 06 06 06 06 04 07 05 05 06 05 04 09 04 03 05 06 06 05 0f 0f 0f 0f 0d 08 0a 09 0a 0c 0e 0b 0c 0e 0f 0f 0a 08 0c 0d","물 속, -6.2°C, 스캔깊이 1.48m, 675kHz",false
