Direction,Timestamp,Hex Data,Parsed Info,Error
RX,2025-11-21 15:12:53.604,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 8d a3 ac 00 00 00 00 00 00 01 19 0b 01 01 01 01 01 03 08 03 09 06 08 07 06 05 05 05 07 09 08 11 0c 08 0b 0f 0e 0b 16 12 14 14 12 17 19 1e 12 17 26 26 16 1f 16 21 21 1a 1e 26 19 25 15 15 1d 1c 19 17 1e 20 20 25 24 1b 24 1b 20 1b 23 27 26 1f 19 1c 1c 26 1f 50 50 50 50 50 50 50 00","물 속, -17.3°C, 스캔깊이 17.70m, 675kHz",false
RX,2025-11-21 15:12:53.616,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 b1 0c 97 00 00 00 00 00 00 1c 03 01 00 01 02 04 08 09 04 07 03 03 03 06 08 0a 0f 08 0b 10 0a 0b 0e 11 0d 16 15 17 0e 16 20 1a 14 23 19 18 2a 14 1d 14 17 1c 19 18 24 1e 1c 21 1e 1d 17 18 21 18 1d 19 22 1d 1d 18 18 21 1f 22 23 1f 1f 1d 1f 1a 1b 1c 26 21 22 23 50 50 50 50 50 50 00","물 속, -17.3°C, 스캔깊이 22.13m, 675kHz",false
RX,2025-11-21 15:12:53.724,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 b1 0c 97 00 00 00 00 00 00 20 05 01 01 01 04 06 0a 0e 05 0c 05 06 08 08 09 0e 12 0d 11 14 0f 11 14 1d 15 1d 20 1f 12 1d 2a 50 1b 1e 21 1a 2e 16 21 18 22 24 28 1b 2b 2b 24 2e 24 2c 2e 26 23 2d 1f 2b 29 1a 24 22 21 26 1c 21 26 24 23 21 21 1c 2c 21 20 23 23 23 50 50 50 50 50 50 00","물 속, -17.3°C, 스캔깊이 22.13m, 675kHz",false
RX,2025-11-21 15:12:53.753,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 a5 3e f3 00 00 00 00 00 00 26 22 02 01 01 00 02 07 04 09 04 07 05 05 04 05 06 0b 0a 09 0a 0c 0d 13 0a 0f 16 11 10 18 16 15 12 17 16 0e 13 1c 1a 1c 19 10 1b 18 12 16 1d 1a 1c 24 22 1b 22 21 24 1d 1a 20 22 18 1c 19 1c 1f 22 21 1b 1c 2b 1c 1b 1e 1f 22 20 24 1e 27 19 1c 20 20 50 00","물 속, -17.3°C, 스캔깊이 20.66m, 675kHz",false
RX,2025-11-21 15:12:53.864,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 a5 3e f3 00 00 00 00 00 00 25 12 02 01 01 02 05 06 05 09 0a 0a 08 0e 08 0a 09 0d 0d 0e 10 10 15 1f 22 17 16 12 19 20 18 1f 14 26 24 1f 1a 24 20 28 14 1d 26 2e 19 22 20 1d 2e 28 2c 28 21 2e 27 26 27 50 29 22 25 2a 2d 24 1c 20 1b 1e 2e 18 20 29 27 24 22 1f 24 24 1b 1b 1d 25 50 00","물 속, -17.3°C, 스캔깊이 20.66m, 675kHz",false
RX,2025-11-21 15:12:53.893,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 a5 3e f3 00 00 00 00 00 00 09 14 02 01 01 03 04 04 06 08 0a 08 0b 0e 12 09 0e 10 09 10 13 0f 11 1b 1e 16 16 10 21 25 1a 15 1c 1e 1b 2a 1f 25 1c 21 26 2b 2e 25 27 26 23 22 27 2a 23 25 1f 2f 31 2e 25 2d 2a 22 20 29 30 2a 20 22 1b 1f 23 24 1f 26 24 1f 21 21 23 23 1e 1e 21 23 50 00","물 속, -17.3°C, 스캔깊이 20.66m, 675kHz",false
RX,2025-11-21 15:12:54.009,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 a5 3e f3 00 00 00 00 00 00 02 1b 03 00 02 03 04 03 05 0a 06 08 0b 0b 0b 0a 0c 0f 0a 0f 12 19 18 17 17 1b 1f 24 23 19 15 13 1e 1f 28 25 1c 1f 1d 23 25 2a 2c 50 2e 22 26 2d 1e 2c 25 23 21 50 2c 29 1d 1f 20 1e 2c 24 23 26 2b 1f 1b 1e 1b 2b 24 21 21 1f 20 1e 20 2d 22 23 22 50 50 00","물 속, -17.3°C, 스캔깊이 20.66m, 675kHz",false
RX,2025-11-21 15:12:54.035,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 a5 3e f3 00 00 00 00 00 00 01 2b 03 01 02 02 06 03 04 0a 08 0a 0a 09 09 0c 0c 0d 0a 11 0f 16 19 16 1c 17 1f 18 20 1c 1f 1a 1e 2e 24 1e 1f 20 1f 1e 25 20 1f 50 23 22 21 1e 2a 2f 2d 20 2a 31 1b 27 2b 2d 21 25 1b 24 26 1c 2f 31 2a 20 26 24 29 22 20 1e 21 21 21 1d 50 2f 1e 2a 50 00","물 속, -17.3°C, 스캔깊이 20.66m, 675kHz",false
RX,2025-11-21 15:12:54.142,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 a5 3e f3 00 00 00 00 00 00 04 1c 03 01 02 02 07 03 06 0a 09 0b 0b 08 09 09 0a 09 0a 15 0f 17 1a 13 1a 0e 17 20 1c 1e 24 21 1d 2a 27 1c 28 1d 1a 24 1c 28 19 28 18 26 2c 24 19 2d 25 25 31 27 20 1c 22 2b 28 20 1c 30 20 25 2a 27 23 23 20 24 29 22 20 1a 1f 1d 24 1e 1d 25 1b 23 50 00","물 속, -17.3°C, 스캔깊이 20.66m, 675kHz",false
RX,2025-11-21 15:12:54.172,"b4 00 01 c1 8a 14 7a 24 47 4e 52 4d 43 2c 30 36 31 32 35 33 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 32 31 32 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 35 2c 45 2c 30 2e 31 30 35 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 32 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 a5 3e f3 00 00 00 00 00 00 05 15 03 01 01 01 05 03 04 07 07 09 09 07 07 06 05 08 08 12 0c 0e 12 10 0e 0f 0a 0e 14 17 15 1c 13 1c 1b 1a 1b 1d 15 24 1f 1f 12 1e 1a 1c 29 2b 1e 21 1e 23 22 1f 1d 1d 1e 20 1a 28 16 19 1c 21 1d 1e 18 20 1c 24 27 24 21 1d 1f 1f 1b 20 22 23 22 1d 50 00","물 속, -17.3°C, 스캔깊이 20.66m, 675kHz",false
